split,mode,model,coco/segm_mAP,coco/segm_mAP_50,coco/segm_mAP_75,coco/segm_mAP_s,coco/segm_mAP_m,coco/segm_mAP_l,time,data_time,run_dir,metrics_json,vis_dir,profile_dir,profile_summary_json,profile_csv,profile_time_plot,profile_memory_plot,pixel_dir,pixel_summary_csv,pixel_mean_iou,pixel_mean_precision,pixel_mean_recall,pixel_mean_f1,pixel_mean_pred_coverage,pixel_mean_gt_coverage,pixel_num_images,mean_time_ms,median_time_ms,max_time_ms,mean_peak_allocated_mb,median_peak_allocated_mb,max_peak_allocated_mb,mean_peak_reserved_mb,median_peak_reserved_mb,max_peak_reserved_mb,num_images,num_warmup
50x_unsup,plain,boxinst_r50_fpn_custom_coco_instance,0.716,0.927,0.822,0.428,0.606,0.796,0.5469654401143392,0.1542356014251709,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/20260520_082408,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/20260520_082408/20260520_082408.json,,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/boxinst_r50_fpn_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.8785330857551666,0.9827227270366388,0.8924264805325232,0.9345500251090972,0.3627050159844591,0.4028628625183553,6,217.3397441705068,31.665492802858356,589.8076202720404,525.7815755208334,515.85205078125,587.87548828125,918.6666666666666,812.0,1134.0,3,0
50x_unsup,plain,cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance,0.773,0.911,0.86,0.371,0.686,0.845,0.4568299452463786,0.1580722332000732,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/20260520_082545,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/20260520_082545/20260520_082545.json,,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/cascade-mask-rcnn_r50_fpn_1x_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9584436969628296,0.973038160517612,0.9845821255630536,0.978751871535032,0.4075501713166911,0.4028628625183553,6,237.88690815369287,34.672074019908905,653.7305824458599,611.3902994791666,615.74072265625,626.779296875,768.6666666666666,768.0,856.0,3,0
50x_unsup,plain,condinst_r50_fpn_custom_coco_instance,0.774,0.922,0.861,0.47,0.683,0.832,0.4232300122578938,0.1322966416676839,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/20260520_082732,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/20260520_082732/20260520_082732.json,,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/condinst_r50_fpn_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.8749465772966794,0.986398139184859,0.8856633104658158,0.93188411396389,0.3577708180372002,0.4028628625183553,6,217.2755300998688,31.945563852787014,589.6032731980085,548.4484049479166,561.419921875,602.3232421875,1161.3333333333333,1098.0,1420.0,3,0
50x_unsup,plain,detectors_htc-r50_custom_coco_instance,0.755,0.882,0.852,0.454,0.655,0.829,0.5690470536549886,0.2003343900044759,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/20260520_082908,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/20260520_082908/20260520_082908.json,,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/detectors_htc-r50_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9614299610041542,0.9746929056156476,0.98602747891083,0.9803004281737184,0.4074624575532304,0.4028628625183553,6,322.6241550097863,89.8994617164135,792.1717036515474,1334.75341796875,1345.4501953125,1349.2451171875,1834.0,1834.0,1834.0,3,0
50x_unsup,plain,htc-without-semantic_r50_fpn_1x_custom_coco_instance,0.766,0.929,0.843,0.576,0.692,0.819,0.5046091874440511,0.1920390129089355,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/20260520_083039,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/20260520_083039/20260520_083039.json,,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/htc-without-semantic_r50_fpn_1x_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9571885352382709,0.9720733623739864,0.9842232910205204,0.9780819383775196,0.4078123565987518,0.4028628625183553,6,246.2880052626133,49.553362652659416,641.3737926632166,881.86865234375,878.7255859375,906.822265625,1502.0,1418.0,1670.0,3,0
50x_unsup,plain,mask-rcnn_r50_fpn_1x_custom_coco_instance,0.767,0.904,0.854,0.436,0.661,0.837,0.4214747746785481,0.172548770904541,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/20260520_083333,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/20260520_083333/20260520_083333.json,,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_1x_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9578149236621724,0.971245504429838,0.9857641280432272,0.978435328934072,0.4089715166880812,0.4028628625183553,6,229.6608177324136,21.264364942908287,646.9961479306221,428.0597330729167,426.21923828125,463.8720703125,562.6666666666666,518.0,652.0,3,0
50x_unsup,plain,mask-rcnn_r50_fpn_instaboost_custom_coco_instance,0.538,0.798,0.71,0.083,0.445,0.634,0.4404660860697428,0.2028063933054606,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/20260520_083519,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/20260520_083519/20260520_083519.json,,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/mask-rcnn_r50_fpn_instaboost_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.781390902001838,0.9880010725413524,0.7890385941137742,0.8764740696709912,0.3245500068832599,0.4028628625183553,6,222.61445534725985,21.30842767655849,625.7771104574203,414.81005859375,417.5595703125,431.93212890625,544.0,518.0,596.0,3,0
50x_unsup,plain,mask2former_r50_custom_coco_instance,0.775,0.893,0.841,0.487,0.681,0.855,0.647253672281901,0.1857321262359619,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/20260520_083206,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/20260520_083206/20260520_083206.json,,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/mask2former_r50_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.97570291887665,0.9817121928744325,0.9937664148452524,0.9876985396934675,0.4077179507770436,0.4028628625183553,6,241.98503295580545,81.31168596446514,564.7323280572891,2397.12060546875,2441.45947265625,2441.45947265625,3184.0,3184.0,3184.0,3,0
50x_unsup,plain,ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance,0.797,0.935,0.872,0.603,0.743,0.845,0.4369783401489258,0.1673305829366048,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/20260520_083706,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/20260520_083706/20260520_083706.json,,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/ms-rcnn_r50-caffe_fpn_1x_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9551846214552508,0.9771329130518908,0.9770702135605616,0.9770169647639584,0.4028377672999265,0.4028628625183553,6,226.3545940319697,39.64140266180039,600.3762073814869,732.0686848958334,741.7490234375,742.2041015625,1003.3333333333334,984.0,1134.0,3,0
50x_unsup,plain,point-rend_r50-caffe_fpn_custom_coco_instance,0.789,0.932,0.881,0.682,0.709,0.84,0.4298326174418131,0.1715309619903564,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/20260520_083832,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/20260520_083832/20260520_083832.json,,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/point-rend_r50-caffe_fpn_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9605124380372266,0.9825167083174045,0.9772119171191108,0.9798287850722897,0.4006403821738864,0.4028628625183553,6,211.7081539084514,45.96524499356747,547.769084572792,714.3634440104166,722.94970703125,725.71044921875,980.0,966.0,1100.0,3,0
50x_unsup,plain,queryinst_r50_fpn_1x_custom_coco_instance,0.784,0.926,0.858,0.508,0.719,0.838,0.5677478313446045,0.1667147477467855,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/20260520_083957,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/20260520_083957/20260520_083957.json,,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/queryinst_r50_fpn_1x_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9392374964534586,0.9766477920099098,0.9608752420946716,0.9684623764616154,0.3970861822381302,0.4028628625183553,6,214.91297831137976,42.703159153461456,559.6648007631302,1824.91455078125,1869.25341796875,1869.25341796875,2285.333333333333,2286.0,2286.0,3,0
50x_unsup,plain,rtmdet-ins_tiny_custom_coco_instance,0.639,0.882,0.638,0.436,0.612,0.682,0.5643099943796793,0.1808319886525472,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/20260520_084129,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/20260520_084129/20260520_084129.json,,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/rtmdet-ins_tiny_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.8029113406816464,0.98775824780667,0.8114290069784494,0.8846154662994946,0.3261501258106951,0.4028628625183553,6,180.264533807834,19.833846017718315,501.1833477765322,1051.4182942708333,1096.2060546875,1096.2607421875,1636.0,1636.0,2036.0,3,0
50x_unsup,plain,solo_r50_fpn_1x_custom_coco_instance,0.738,0.898,0.822,0.239,0.642,0.822,0.5355283419291178,0.1739399433135986,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/20260520_084256,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/20260520_084256/20260520_084256.json,,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/solo_r50_fpn_1x_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.8991421750905332,0.9731140735250088,0.9221571627976064,0.9462822442719782,0.3830761192945424,0.4028628625183553,6,218.310392772158,46.23370245099068,562.8786962479353,2798.9181315104165,2781.7802734375,2909.53564453125,3996.0,4218.0,4218.0,3,0
50x_unsup,plain,solov2_r50_fpn_1x_custom_coco_instance,0.781,0.933,0.864,0.368,0.723,0.846,0.5139782428741455,0.1844653288523356,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/20260520_084422,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/20260520_084422/20260520_084422.json,,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/solov2_r50_fpn_1x_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9534304142067292,0.9806100926336998,0.9717360772425204,0.9760701544949492,0.3991308450348751,0.4028628625183553,6,213.3592553436756,36.75040788948536,567.6094107329845,958.78271484375,936.79638671875,1100.046875,1496.0,1372.0,1916.0,3,0
50x_unsup,plain,yolact_r50_custom_coco_instance,0.716,0.872,0.745,0.414,0.627,0.797,0.4706727663675944,0.1592863400777181,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/20260520_084547,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/20260520_084547/20260520_084547.json,,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/profile,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/profile/profile_summary.json,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/profile/per_image_profile.csv,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/profile/per_image_time.png,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/profile/per_image_memory.png,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/pixel_metrics,outputs/coco_eval_apmask/50x_unsup/plain/yolact_r50_custom_coco_instance/pixel_metrics/metrics_summary.csv,0.9388894751840872,0.979152911052187,0.9580015254759936,0.9683904293925366,0.3935147741525942,0.4028628625183553,6,180.66202166179812,12.986429035663605,516.0480085760355,378.0501302083333,388.12060546875,391.44677734375,493.3333333333333,536.0,536.0,3,0
50x_unsup,plain,sam3_agent_qwen3.5-flash,0.5232196902155057,0.6039603960396039,0.5482065648425308,0.0,0.4664266426642665,0.652033954605426,18.696572152897716,3.8317715128262835e-06,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/20260520_085353.json,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/vis,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/profile,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/profile/profile_summary.json,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/profile/per_image_profile.csv,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/profile/per_image_time.png,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/profile/per_image_memory.png,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/pixel_metrics,outputs/coco_eval/50x_unsup/plain/sam3_agent_qwen3.5-flash/20260520_085353/pixel_metrics/metrics_summary.csv,0.818292786627778,0.8254313625652755,0.8260522960568557,0.8257392462111911,0.33203770305616737,0.4007034787230788,6,18696.572152897716,18638.43533117324,39584.65642482042,5011.789957682292,5088.91552734375,5088.91552734375,5327.666666666667,5328.0,5328.0,6,0
